game_id,season,team,point_diff,wins,turnover_diff,off_pass_epa,off_rush_epa,def_pass_epa,def_rush_epa,home,dome,temp,wind
2002_08_ARI_SF,2002,SF,10,1,4,0.728978638,-0.115482378,0.00319862,0.339620733,1,0,62,5
2002_08_ATL_NO,2002,ATL,2,1,1,0.397552252,0.151488487,0.099627846,0.057940944,0,1,70,0
2002_08_ATL_NO,2002,NO,-2,0,-1,0.099627846,0.057940944,0.397552252,0.151488487,1,1,70,0
2002_08_CHI_MIN,2002,CHI,-18,0,-2,-0.229120423,-0.28433415,0.326784363,-0.101665967,0,1,70,0
2002_08_CHI_MIN,2002,MIN,18,1,2,0.326784363,-0.101665967,-0.229120423,-0.28433415,1,1,70,0
2002_08_CLE_NYJ,2002,CLE,3,1,3,0.208137086,-0.331524157,-0.163548024,-0.106547762,0,0,57,12
2002_08_CLE_NYJ,2002,NYJ,-3,0,-3,-0.163548024,-0.106547762,0.208137086,-0.331524157,1,0,57,12
2002_08_DEN_NE,2002,DEN,8,1,-2,0.413480453,0.049071878,-0.20994027,0.01157845,0,0,60,15
2002_08_DEN_NE,2002,NE,-8,0,2,-0.20994027,0.01157845,0.413480453,0.049071878,1,0,60,15
2002_08_DET_BUF,2002,BUF,7,1,-1,0.169736419,-0.197707547,-0.100893608,-0.128307256,1,0,47,18
2002_08_DET_BUF,2002,DET,-7,0,1,-0.100893608,-0.128307256,0.169736419,-0.197707547,0,0,47,18
2002_08_HOU_JAX,2002,HOU,2,1,-1,0.381343865,-0.39832999,-0.131454416,-0.03695454,0,0,78,9
2002_08_HOU_JAX,2002,JAX,-2,0,1,-0.131454416,-0.03695454,0.381343865,-0.39832999,1,0,78,9
2002_08_IND_WAS,2002,IND,-5,0,-2,-0.033725353,0.053304593,0.135325254,-0.156266514,0,0,55,7
2002_08_IND_WAS,2002,WAS,5,1,2,0.135325254,-0.156266514,-0.033725353,0.053304593,1,0,55,7
2002_08_NYG_PHI,2002,NYG,-14,0,0,-0.169536452,-0.022176577,0.030397865,0.185272798,0,0,51,5
2002_08_NYG_PHI,2002,PHI,14,1,0,0.030397865,0.185272798,-0.169536452,-0.022176577,1,0,51,5
